species_id,scientific_name,common_name,status,kingdom,detail_url,image_url
39119,Mastixia trichotoma,Bantis,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=39119,https://cms.mybis.gov.my/img/plant.png
42867,Matthaea sancta,Pokok Cherum,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=42867,https://cms.mybis.gov.my/img/plant.png
35960,Melientha suavis,Buah Chemperei,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=35960,https://cms.mybis.gov.my/img/plant.png
1958,Melodinus cochinchinensis,,Data Deficient,Plantae,https://www.mybis.gov.my/one/profile.php?sid=1958,https://cms.mybis.gov.my/img/plant.png
33315,Melodinus orientalis,Akar Ujul,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=33315,https://cms.mybis.gov.my/thumbnail/s300_5133.jpeg
1802,Memecylon acuminatum,,Endangered,Plantae,https://www.mybis.gov.my/one/profile.php?sid=1802,https://cms.mybis.gov.my/img/plant.png
3711,Memecylon cantleyi,Nipis Kulit,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=3711,https://cms.mybis.gov.my/thumbnail/s300_577.jpeg
8733,Memecylon dichotomum,Nipis Kulit,Data Deficient,Plantae,https://www.mybis.gov.my/one/profile.php?sid=8733,https://cms.mybis.gov.my/thumbnail/s300_578.jpeg
9329,Memecylon edule,Nipis Kulit,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=9329,https://cms.mybis.gov.my/thumbnail/s300_14220.jpeg
10155,Memecylon excelsum,Nipis Kulit,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=10155,https://cms.mybis.gov.my/img/plant.png
14434,Memecylon floridum,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=14434,https://cms.mybis.gov.my/img/plant.png
15282,Memecylon fruticosum,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=15282,https://cms.mybis.gov.my/img/plant.png
12854,Memecylon garcinioides,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=12854,https://cms.mybis.gov.my/img/plant.png
32293,Memecylon oleifolium,Delek Putih,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=32293,https://cms.mybis.gov.my/img/plant.png
41053,Memecylon paniculatum,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=41053,https://cms.mybis.gov.my/img/plant.png
41055,Memecylon pauciflorum,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=41055,https://cms.mybis.gov.my/thumbnail/s300_586.jpeg
41059,Memecylon pubescens,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=41059,https://cms.mybis.gov.my/img/plant.png
44670,Memecylon wallichii,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=44670,https://cms.mybis.gov.my/img/plant.png
